FID,gid,objectid,sampleno,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,toposheet,in_,f,te,tl,hg,cd
0,349540,354231,55K/07/1/S/2021-22,78.259056000000001,21.259806000000001,47.310000000000002,14.080000000000000,14.779999999999999,2.080000000000000,4.650000000000000,2.050000000000000,0.180000000000000,0.410000000000000,0.530000000000000,0.090000000000000,0.000000000000000,267.000000000000000,22.000000000000000,26.000000000000000,311.000000000000000,4.911650000000000,10.000000000000000,77.000000000000000,51.000000000000000,27.811827999999998,111.000000000000000,29.000000000000000,153.000000000000000,13.000000000000000,95.000000000000000,166.000000000000000,95.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.355168000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.966464000000000,2.455964000000000,0.000000000000000,2.826455000000000,19.879055999999999,40.066645000000001,5.216555000000000,21.556972999999999,5.416174000000000,1.511384000000000,0.983543000000000,5.843456000000000,5.902764000000000,1.134184000000000,3.224911000000000,0.523717000000000,3.154836000000000,0.508724000000000,5.678209000000000,0.800025000000000,0.000000000000000,1.189810000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
1,349541,354232,55K/07/2/S/2021-22,78.285289000000006,21.263138999999999,45.979999999999997,13.420000000000000,13.990000000000000,1.870000000000000,6.640000000000000,2.300000000000000,0.170000000000000,0.480000000000000,0.500000000000000,0.110000000000000,0.000000000000000,260.000000000000000,19.000000000000000,26.000000000000000,296.000000000000000,4.269975000000000,7.000000000000000,74.000000000000000,51.000000000000000,25.060421000000002,132.000000000000000,28.000000000000000,135.000000000000000,12.000000000000000,91.000000000000000,165.000000000000000,87.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.890538000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.892365000000000,2.290972000000000,0.000000000000000,4.511404000000000,18.643142999999998,37.882007999999999,4.949892000000000,20.414477000000002,5.102559000000000,1.539445000000000,0.961677000000000,5.763490000000000,5.829425000000000,1.068406000000000,3.129061000000000,0.506492000000000,3.016574000000000,0.250000000000000,5.575035000000000,0.821323000000000,0.000000000000000,1.191207000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
2,349542,354233,55K/07/3/S/2021-22,78.298889000000003,21.253806000000001,48.560000000000002,14.490000000000000,15.250000000000000,2.010000000000000,4.000000000000000,2.390000000000000,0.210000000000000,0.480000000000000,0.460000000000000,0.100000000000000,0.000000000000000,271.000000000000000,22.000000000000000,27.000000000000000,303.000000000000000,4.360935000000000,8.000000000000000,85.000000000000000,57.000000000000000,25.681262000000000,90.000000000000000,30.000000000000000,149.000000000000000,14.000000000000000,123.000000000000000,182.000000000000000,94.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.981454000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.988964000000000,2.307446000000000,0.000000000000000,3.937373000000000,18.728332000000002,41.597144999999998,5.054582000000000,20.837161999999999,5.439716000000000,1.579079000000000,0.979534000000000,5.910689000000000,6.142676000000000,1.101933000000000,3.154701000000000,0.507056000000000,3.059631000000000,0.250000000000000,5.492908000000000,0.844362000000000,0.000000000000000,1.116258000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
3,349543,354234,55K/07/4/S/2021-22,78.311443999999995,21.257833000000002,47.329999999999998,14.609999999999999,14.930000000000000,1.960000000000000,5.040000000000000,2.560000000000000,0.200000000000000,0.620000000000000,0.460000000000000,0.110000000000000,0.000000000000000,254.000000000000000,20.000000000000000,27.000000000000000,313.000000000000000,2.000000000000000,8.000000000000000,80.000000000000000,56.000000000000000,20.556175000000000,97.000000000000000,27.000000000000000,143.000000000000000,12.000000000000000,103.000000000000000,181.000000000000000,96.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.587476000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.826501000000000,2.273042000000000,0.000000000000000,4.257391000000000,16.353567999999999,35.114807999999996,4.448462000000000,18.476444999999998,4.935434000000000,1.438164000000000,0.894386000000000,5.171831000000000,5.535726000000000,1.047453000000000,2.990119000000000,0.250000000000000,2.933445000000000,0.250000000000000,5.750804000000000,0.699892000000000,0.000000000000000,0.996001000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
4,349544,354235,55K/07/5/S/2021-22,78.343361000000002,21.256471999999999,43.439999999999998,18.920000000000002,18.340000000000000,2.180000000000000,1.770000000000000,1.280000000000000,0.210000000000000,0.160000000000000,0.460000000000000,0.100000000000000,0.000000000000000,232.000000000000000,29.000000000000000,34.000000000000000,344.000000000000000,5.385344000000000,8.000000000000000,107.000000000000000,58.000000000000000,30.342468000000000,53.000000000000000,32.000000000000000,172.000000000000000,15.000000000000000,127.000000000000000,218.000000000000000,87.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.197471000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.112603000000000,2.545822000000000,0.000000000000000,2.557051000000000,20.503280000000000,41.842596000000000,5.353823000000000,21.879387000000001,5.432849000000000,1.593456000000000,1.007992000000000,5.995274000000000,6.290303000000000,1.157494000000000,3.392619000000000,0.529119000000000,3.352178000000000,0.511220000000000,6.530130000000000,0.732160000000000,0.000000000000000,1.273485000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
5,349545,354236,55K/07/6/S/2021-22,78.351556000000002,21.256694000000000,45.490000000000002,14.039999999999999,15.430000000000000,2.230000000000000,5.640000000000000,2.680000000000000,0.180000000000000,0.840000000000000,0.370000000000000,0.120000000000000,0.000000000000000,226.000000000000000,22.000000000000000,26.000000000000000,293.000000000000000,2.000000000000000,6.000000000000000,82.000000000000000,50.000000000000000,15.316188000000000,121.000000000000000,26.000000000000000,139.000000000000000,13.000000000000000,118.000000000000000,210.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.128637000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.811752000000000,2.549429000000000,0.000000000000000,1.904436000000000,14.215885999999999,30.287019000000001,4.235582000000000,18.579374999999999,4.971840000000000,1.587352000000000,0.921363000000000,5.587538000000000,5.738237000000000,1.021230000000000,2.935165000000000,0.250000000000000,2.788494000000000,0.250000000000000,5.066913000000000,0.866649000000000,0.000000000000000,0.737107000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
6,349546,354237,55K/07/7/S/2021-22,78.371722000000005,21.262250000000002,45.960000000000001,13.699999999999999,15.900000000000000,2.770000000000000,3.290000000000000,4.220000000000000,0.180000000000000,0.450000000000000,1.090000000000000,0.160000000000000,0.000000000000000,365.000000000000000,21.000000000000000,27.000000000000000,306.000000000000000,2.000000000000000,4.000000000000000,88.000000000000000,46.000000000000000,22.211307999999999,115.000000000000000,31.000000000000000,156.000000000000000,15.000000000000000,193.000000000000000,222.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.500000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.675251000000000,2.265037000000000,0.000000000000000,1.980300000000000,13.929957000000000,28.256264000000002,4.562235000000000,20.669069000000000,5.763970000000000,1.885885000000000,1.032150000000000,6.303988000000000,6.261140000000000,1.121823000000000,3.060030000000000,0.250000000000000,2.828008000000000,0.250000000000000,5.313544000000000,0.946428000000000,0.000000000000000,0.250000000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
7,349547,354238,55K/07/8/S/2021-22,78.387167000000005,21.259917000000002,49.509999999999998,13.080000000000000,13.060000000000000,2.100000000000000,5.730000000000000,2.650000000000000,0.190000000000000,0.450000000000000,0.680000000000000,0.090000000000000,0.000000000000000,342.000000000000000,19.000000000000000,22.000000000000000,296.000000000000000,5.328805000000000,10.000000000000000,80.000000000000000,46.000000000000000,33.460808000000000,112.000000000000000,26.000000000000000,164.000000000000000,14.000000000000000,140.000000000000000,149.000000000000000,96.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.860890000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.052750000000000,2.357453000000000,0.000000000000000,2.451884000000000,20.858841000000002,45.725572000000000,5.478254000000000,22.337561999999998,5.620194000000000,1.547853000000000,0.933868000000000,5.762912000000000,5.761112000000000,1.064925000000000,3.102690000000000,0.250000000000000,2.991763000000000,0.250000000000000,6.121431000000000,0.943789000000000,0.000000000000000,1.087424000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
8,349548,354239,55K/07/9/S/2021-22,78.415166999999997,21.261555999999999,44.960000000000001,13.400000000000000,16.920000000000002,2.560000000000000,5.370000000000000,2.450000000000000,0.210000000000000,1.060000000000000,0.320000000000000,0.140000000000000,0.000000000000000,275.000000000000000,22.000000000000000,25.000000000000000,357.000000000000000,2.000000000000000,4.000000000000000,60.000000000000000,53.000000000000000,13.041907000000000,138.000000000000000,26.000000000000000,146.000000000000000,11.000000000000000,86.000000000000000,227.000000000000000,116.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.224712000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.844237000000000,2.887695000000000,0.000000000000000,2.505259000000000,14.852461999999999,32.785466000000000,4.690370000000000,20.718363000000000,5.757636000000000,1.835518000000000,1.067686000000000,6.384488000000000,6.352867000000000,1.162316000000000,3.285176000000000,0.531462000000000,3.061994000000000,0.250000000000000,5.626252000000000,0.810362000000000,0.000000000000000,0.855456000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
9,349549,354240,55K/07/10/S/2021-22,78.438806000000000,21.255806000000000,42.570000000000000,15.150000000000000,20.300000000000001,2.840000000000000,3.270000000000000,1.390000000000000,0.200000000000000,0.380000000000000,0.290000000000000,0.090000000000000,0.000000000000000,322.000000000000000,27.000000000000000,31.000000000000000,429.000000000000000,4.330512000000000,7.000000000000000,86.000000000000000,63.000000000000000,20.001020000000000,90.000000000000000,29.000000000000000,186.000000000000000,13.000000000000000,112.000000000000000,220.000000000000000,102.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.288212000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.171923000000000,3.179368000000000,0.000000000000000,2.407877000000000,19.611464000000002,45.347560000000001,5.732349000000000,23.904851000000001,6.409239000000000,1.921687000000000,1.137299000000000,6.939435000000000,6.763358000000000,1.234210000000000,3.485150000000000,0.577103000000000,3.321976000000000,0.525189000000000,7.681275000000000,0.860811000000000,0.000000000000000,1.231990000000000,0.000000000000000,0.000000000000000,55K07,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
